"nr","country","year","fertility","urbanpop","energyuse","fossile","ggemission","arableland","womenedu","livestock","fertilizers","gdp","name","pop"
"1","ABW","2020",1.325,43.697,,,,2000,,,,24590,"Aruba",106585
"2","AFG","2020",4.75,26.026,,,,7829000,,101.05,8.71449482692553,500,"Afghanistan",38972230
"3","AGO","2020",5.371,66.825,,,,4900000,,112.09,8.59888163265306,1740,"Angola",33428486
"4","ALB","2020",1.4,62.112,,,,599600,,94.33,101.428185456971,5260,"Albania",2837849
"5","AND","2020",,87.916,,,,720,,,,,"Andorra",77700
"6","ARE","2020",1.46,87.048,,,,49000,,120.95,643.434489795918,41770,"United Arab Emirates",9287289
"7","ARG","2020",1.911,92.111,,,,32632759.7,,113.06,71.0076950678493,9010,"Argentina",45376763
"8","ARM","2020",1.575,63.313,,,,444000,,101.34,203.466891891892,4470,"Armenia",2805608
"9","ASM","2020",,87.153,,,,3190,,,,,"American Samoa",46189
"10","ATG","2020",1.569,24.433,,,,4000,,100.46,8.2475,14530,"Antigua and Barbuda",92664
"11","AUS","2020",1.581,86.241,,,,30644000,9.51340007781982,94.82,84.2942292128965,53620,"Australia",25655289
"12","AUT","2020",1.44,58.748,,,,1321080,,100.62,128.437914433645,48990,"Austria",8916864
"13","AZE","2020",1.7,56.397,,,,2084300,,116.02,105.578481984359,4480,"Azerbaijan",10093121
"14","BDI","2020",5.177,13.708,,,,1200000,,113.35,20.1870333333333,220,"Burundi",12220227
"15","BEL","2020",1.55,98.079,,,,864876.6,,104.87,295.297618180443,46030,"Belgium",11538604
"16","BEN","2020",5.048,48.415,,,,2800000,,112.69,40.2101571428571,1230,"Benin",12643123
"17","BFA","2020",4.869,30.607,,,,6000000,,104.94,17.1811433333333,750,"Burkina Faso",21522626
"18","BGD","2020",2.003,38.177,,,,8000000,4.04680013656616,114.66,320.9125,2300,"Bangladesh",167420951
"19","BGR","2020",1.56,75.686,,,,3492000,,89.67,139.228903207331,9520,"Bulgaria",6934015
"20","BHR","2020",1.832,89.506,,,,1600,1.96863996982574,138.89,1246.64375,22950,"Bahrain",1477469
"21","BHS","2020",1.394,83.245,,,,8000,,99.76,238.16875,23500,"Bahamas, The",406471
"22","BIH","2020",1.359,49.02,,,,1015000,1.49592995643616,86.23,90.1209753694581,6030,"Bosnia and Herzegovina",3318407
"23","BLR","2020",1.382,79.483,,,,5660000,,110.63,180.728268551237,6400,"Belarus",9379952
"24","BLZ","2020",1.999,46.025,,,,90000,1.72905004024506,103.2,438.399222222222,5210,"Belize",394921
"25","BMU","2020",1.3,100,,,,300,,,283.333333333333,111800,"Bermuda",63893
"26","BOL","2020",2.651,70.123,,,,4540000,0.745720028877258,113.63,10.7680176211454,3120,"Bolivia",11936162
"27","BRA","2020",1.649,87.073,,,,55762000,,108.91,365.24091352534,7820,"Brazil",213196304
"28","BRB","2020",1.628,31.191,,,,7000,,104.23,50.59,16230,"Barbados",280693
"29","BRN","2020",1.796,78.25,,,,4000,,107.11,177.25,31210,"Brunei Darussalam",441725
"30","BTN","2020",1.433,42.316,,,,94000,,98.07,14.3121276595745,2840,"Bhutan",772506
"31","BWA","2020",2.836,70.877,,,,260000,,89.51,51.2911153846154,6010,"Botswana",2546402
"32","CAF","2020",5.985,42.198,,,,1800000,,107.36,0.187722222222222,460,"Central African Republic",5343020
"33","CAN","2020",1.4,81.562,,,,38235000,,118.51,132.365633581797,43540,"Canada",38037204
"34","CHE","2020",1.46,73.915,,,,399841.5,,97.36,175.129995260622,82740,"Switzerland",8638167
"35","CHI","2020",1.447,30.963,,,,,,,,,"Channel Islands",171113
"36","CHL","2020",1.537,87.727,,,,1197000,,106.93,409.713383458647,12990,"Chile",19300315
"37","CHN","2020",1.281,61.428,,,,119473100,,95.82,383.316978047778,10520,"China",1411100000
"38","CIV","2020",4.472,51.706,,,,3500000,,113.77,51.8755,2240,"Cote d'Ivoire",26811790
"39","CMR","2020",4.543,57.56,,,,6200000,,98.13,13.3853290322581,1520,"Cameroon",26491087
"40","COD","2020",6.206,45.638,,,,13477000,,102.85,2.12180974994435,540,"Congo, Dem. Rep.",92853164
"41","COG","2020",4.234,67.829,,,,550000,,102.06,9.85812727272727,1760,"Congo, Rep.",5702174
