"name","year","elecons","allowances","crimes","urban","wages","nonworking","pop","detect"
"Powiat bocheński","2022",705.1,1606,1897,29.42,84.2,0,106878,83.6
"Powiat krakowski","2022",878.8,4079,2968,14.75,95.2,0,300289,65
"Powiat miechowski","2022",721.9,1083,748,23.46,80.8,0,46998,70.9
"Powiat myślenicki","2022",751.7,625,1576,23.59,83.6,0,129538,81
"Powiat proszowicki","2022",872.2,1712,330,19.34,83.2,0,42268,68
"Powiat wielicki","2022",870.7,1172,2303,30.87,92.5,0,142044,78.6
"Powiat m. Kraków","2022",984.1,57319,21819,100,121.7,0,803282,60
"Powiat gorlicki","2022",640,4125,2953,31.42,75,0,105782,93.2
"Powiat limanowski","2022",668.9,1268,1854,16.98,77.3,0,131549,85
"Powiat nowosądecki","2022",712.4,2241,2338,15.94,76.6,0,214933,72.1
"Powiat m. Nowy Sącz","2022",728.1,7852,5473,100,81.7,0,80587,78.8
"Powiat chrzanowski","2022",803.8,13387,3164,60.5,89.8,0,119719,74.3
"Powiat olkuski","2022",768.1,4057,1858,47.2,87.9,0,106843,74
"Powiat oświęcimski","2022",745,9366,3563,51.45,88,0,149304,84
"Powiat wadowicki","2022",780,6181,2460,25.62,80.3,0,157855,77.8
"Powiat brzeski","2022",648.2,1346,2990,19.97,76.5,0,91823,89.8
"Powiat dąbrowski","2022",540.4,1023,1627,26.98,78.6,0,57809,72.6
"Powiat tarnowski","2022",613.8,1220,5289,11.61,74.7,0,197717,68.9
"Powiat m. Tarnów","2022",588.6,20453,2887,100,100.2,0,103960,70.3
"Powiat nowotarski","2022",791.3,2644,3849,26.68,77.1,0,190143,65.5
"Powiat suski","2022",797.7,845,1164,23.95,82.9,0,83127,73.3
"Powiat tatrzański","2022",1498,1459,1971,38.14,82.3,0,66566,59.4
"Powiat bielski","2022",871.3,2602,4424,26.21,87.6,0,165836,68.4
"Powiat cieszyński","2022",866.2,9084,3971,43.94,87.1,0,175579,66.6
"Powiat żywiecki","2022",903.2,3610,3123,19.99,89.7,0,149439,77
"Powiat m. Bielsko-Biała","2022",817.1,17291,5226,100,96,0,166765,69.4
"Powiat lubliniecki","2022",810.7,2232,1930,36.68,84.8,0,75157,75.3
"Powiat tarnogórski","2022",850.8,10692,3387,66.62,92.7,0,139221,60.4
"Powiat m. Bytom","2022",773.9,20589,4247,100,94,0,149576,72.1
"Powiat m. Piekary Śląskie","2022",796.7,9521,1333,100,97.7,0,52137,68.9
"Powiat częstochowski","2022",837.8,1456,1467,12.95,86.1,0,132009,67.7
"Powiat kłobucki","2022",832.8,1020,821,19.98,76.5,0,82451,75.8
"Powiat myszkowski","2022",826.1,3359,1908,53.62,83.9,0,68054,75.9
"Powiat m. Częstochowa","2022",792.7,30652,5169,100,89.8,0,208282,62.6
"Powiat gliwicki","2022",870,6928,1922,51.7,90.5,0,113223,69.6
"Powiat m. Gliwice","2022",846.1,21257,5246,100,111.4,0,171023,60.3
"Powiat m. Zabrze","2022",778.7,28338,5789,100,97.1,0,155430,67.3
"Powiat m. Chorzów","2022",877.5,35483,3172,100,88.8,0,101914,57.6
"Powiat m. Katowice","2022",913.3,35752,19418,100,119.6,0,280190,64.4
"Powiat m. Mysłowice","2022",847.2,10590,25816,100,85.8,0,71643,58.3
"Powiat m. Ruda Śląska","2022",799.8,16216,3314,100,89.6,0,131532,66.3
"Powiat m. Siemianowice Śląskie","2022",801,14529,2439,100,88.8,0,63892,69.2
"Powiat m. Świętochłowice","2022",776.6,4939,1597,100,84.3,0,45795,76.2
"Powiat raciborski","2022",737.3,9195,2173,56.85,101.8,0,99974,77.2
"Powiat rybnicki","2022",864.6,2711,1264,34.75,84.4,0,76816,73.1
"Powiat wodzisławski","2022",815.5,10023,5413,63.25,81.7,0,151133,78.5
"Powiat m. Jastrzębie-Zdrój","2022",695.5,6336,2166,100,0,0,83139,73.3
"Powiat m. Rybnik","2022",831.4,14457,3866,100,91.5,0,131744,72.3
"Powiat m. Żory","2022",704,3517,1372,100,85.7,0,61817,59.7
"Powiat będziński","2022",904.3,14384,5985,72.63,84.6,0,145429,66.9
"Powiat zawierciański","2022",838.4,10140,2264,62.63,96,0,112774,74.4
"Powiat m. Dąbrowa Górnicza","2022",788.9,8650,5423,100,108.4,0,114765,61.6
"Powiat m. Jaworzno","2022",886.7,5497,1633,100,112.9,0,87552,64.7
"Powiat m. Sosnowiec","2022",821.3,35842,8229,100,91.4,0,189178,60.8
"Powiat mikołowski","2022",912.7,6829,1985,84.76,88.8,0,99602,77.9
"Powiat pszczyński","2022",825.2,3229,1588,22.77,89.2,0,110958,56.1
"Powiat bieruńsko-lędziński","2022",839.5,1186,809,75.28,83.8,0,59568,64.1
"Powiat m. Tychy","2022",728.3,16489,3075,100,93,0,123105,65.6
"Powiat gorzowski","2022",853.3,1748,1152,32.87,91.9,0,73480,68.8
"Powiat międzyrzecki","2022",800.4,3427,1293,51.46,84.9,0,55357,64
"Powiat słubicki","2022",805.4,2327,1605,63.85,88.3,0,45965,68.6
"Powiat strzelecko-drezdenecki","2022",776.1,3384,1059,47.51,85.4,0,47002,73.2
"Powiat sulęciński","2022",807.7,2580,816,42.16,79.6,0,33771,69
"Powiat m. Gorzów Wielkopolski","2022",726.7,18179,3802,100,87.8,0,116436,64.9
"Powiat krośnieński","2022",809,3598,1177,49.86,85.5,0,53105,66.1
"Powiat nowosolski","2022",788,6814,1917,64.93,86.6,0,82619,68.4
"Powiat świebodziński","2022",792.8,1557,1126,47.83,91.8,0,54268,68.4
"Powiat zielonogórski","2022",829.7,3365,1373,42.59,91.9,0,74967,60.4
"Powiat żagański","2022",729.9,7934,2155,59.62,81.5,0,74390,64.7
"Powiat żarski","2022",801.9,6975,2301,59.32,92,0,91897,60.6
"Powiat wschowski","2022",806.9,610,917,49.55,81.3,0,37441,75
"Powiat m. Zielona Góra","2022",792.9,13339,3961,100,96.4,0,139278,56.1
"Powiat jarociński","2022",679.3,4564,912,42.61,80.4,0,70037,84.5
"Powiat kaliski","2022",823.1,558,704,8.18,77.6,0,82503,70.6
