2010-01-01;33,7;Kolumna 1;Alfa;1;Regresja;
2010-02-01;29,7;#N/D;0,2;2;;
2010-03-01;31,7;#N/D;Kolumna 1;3;Model regresji;Liniowo
2010-04-01;31;31,525;33,7;4;R^2;0,111042243029632
2010-05-01;31,4;30,95;33,7;5;Błąd standardowy;34,0242396283026
2010-06-01;29,9;31;32,9;6;;
2010-07-01;32,2;31,125;32,66;7;Nachylenie;4,07380964573388
2010-08-01;30,1;30,9;32,328;8;Odcięta;-70,6183008350735
2010-09-01;30,3;30,625;32,1424;9;;
2010-10-01;33,5;31,525;31,69392;10;33,7;66,6690842261583
2010-11-01;31,1;31,25;31,795136;11;29,7;50,3738456432227
2010-12-01;33,8;32,175;31,4561088;12;31,7;58,5214649346905
2011-01-01;34,5;33,225;31,22488704;13;31;55,6697981826768
2011-02-01;31,7;32,775;31,679909632;14;31,4;57,2993220409703
2011-03-01;35;33,75;31,5639277056;15;29,9;51,1886075723695
2011-04-01;30,5;32,925;32,01114216448;16;32,2;60,5583697575574
2011-05-01;31,9;32,275;32,508913731584;17;30,1;52,0033695015163
2011-06-01;28,6;31,5;32,3471309852672;18;30,3;52,8181314306631
2011-07-01;27,7;29,675;32,8777047882138;19;33,5;65,8543222970115
2011-08-01;31,4;29,9;32,402163830571;20;31,1;56,0771791472502
2011-09-01;28,7;29,1;32,3017310644568;21;33,8;67,0764651907316
2011-10-01;31,8;29,9;31,5613848515655;22;34,5;69,9281319427454
2011-11-01;31,1;30,75;30,7891078812524;23;31,7;58,5214649346905
2011-12-01;32,6;31,05;30,9112863050019;24;35;71,9650367656123
2012-01-01;34,1;32,4;30,4690290440015;25;30,5;53,6328933598098
2012-02-01;33;32,7;30,7352232352012;26;31,9;59,3362268638373
2012-03-01;32,7;33,1;30,808178588161;27;28,6;45,8926550329155
2012-04-01;33,7;33,375;31,1665428705288;28;27,7;42,226226351755
2012-05-01;31,6;32,75;31,753234296423;29;31,4;57,2993220409703
2012-06-01;28,9;31,725;32,0025874371384;30;28,7;46,3000359974888
2012-07-01;32,3;31,625;32,1420699497107;31;31,8;58,9288458992639
2012-08-01;30,1;30,725;32,4536559597686;32;31,1;56,0771791472502
2012-09-01;27,1;29,6;32,2829247678149;33;32,6;62,187893615851
2012-10-01;34,2;30,925;31,6063398142519;34;34,1;68,2986080844518
2012-11-01;31,3;30,675;31,7450718514015;35;33;63,8174174741445
2012-12-01;35,7;32,075;31,4160574811212;36;32,7;62,5952745804244
2013-01-01;40,5;35,425;30,552845984897;37;33,7;66,6690842261583
2013-02-01;32,7;35,05;31,2822767879176;38;31,6;58,1140839701171
2013-03-01;33,5;35,6;31,2858214303341;39;28,9;47,1147979266356
2013-04-01;36,1;35,7;32,1686571442673;40;32,3;60,9657507221308
2013-05-01;30,8;33,275;33,8349257154138;41;30,1;52,0033695015163
2013-06-01;28,2;32,15;33,6079405723311;42;27,1;39,7819405643146
2013-07-01;31,5;31,65;33,5863524578648;43;34,2;68,7059890490252
2013-08-01;28,6;29,775;34,0890819662919;44;31,3;56,891941076397
2013-09-01;30;29,575;33,4312655730335;45;35,7;74,816703517626
2013-10-01;32,5;30,65;32,3850124584268;46;40,5;94,3709898171486
2013-11-01;29,3;30,1;32,2080099667414;47;32,7;62,5952745804244
2013-12-01;33,9;31,425;31,4864079733932;48;33,5;65,8543222970115
2014-01-01;33,1;32,2;31,1891263787145;49;36,1;76,4462273759196
2014-02-01;30,7;31,75;31,4513011029716;50;30,8;54,85503625353
2014-03-01;33,8;32,875;31,0210408823773;51;28,2;44,2631311746219
2014-04-01;31,7;32,325;31,5968327059018;52;31,5;57,7067030055437
2014-05-01;30,2;31,6;31,8974661647215;53;28,6;45,8926550329155
2014-06-01;28,9;31,15;31,6579729317772;54;30;51,5959885369429
2014-07-01;31;30,45;32,0863783454217;55;32,5;61,7805126512776
2014-08-01;27,5;29,4;32,0091026763374;56;29,3;48,7443217849292
2014-09-01;31,4;29,7;31,6472821410699;57;33,9;67,483846155305
2014-10-01;32,2;30,525;31,0978257128559;58;33,1;64,2247984387179
2014-11-01;29,7;30,2;31,0782605702847;59;30,7;54,4476552889566
2014-12-01;36,4;32,425;30,3626084562278;60;33,8;67,0764651907316
2015-01-01;33,6;32,975;30,5700867649822;61;31,7;58,5214649346905
2015-02-01;34,7;33,6;30,8960694119858;62;30,2;52,4107504660897
2015-03-01;38,8;35,875;30,6568555295886;63;28,9;47,1147979266356
2015-04-01;34,9;35,5;31,8054844236709;64;31;55,6697981826768
2015-05-01;30,3;34,675;32,1643875389367;65;27,5;41,4114644226082
2015-06-01;31,5;33,875;32,6715100311494;66;31,4;57,2993220409703
2015-07-01;31;31,925;33,8972080249195;67;32,2;60,5583697575574
2015-08-01;31,1;30,975;34,0977664199356;68;29,7;50,3738456432227
2015-09-01;30;30,9;33,3382131359485;69;36,4;77,6683702696397
2015-10-01;31,5;30,9;32,9705705087588;70;33,6;66,2617032615849
2015-11-01;30;30,65;32,576456407007;71;34,7;70,7428938718921
2015-12-01;34,6;31,525;32,2811651256056;72;38,8;87,445513419401
2016-01-01;33,3;32,35;31,8249321004845;73;34,9;71,5576558010389
2016-02-01;34,9;33,2;31,7599456803876;74;30,3;52,8181314306631
2016-03-01;35,4;34,55;31,4079565443101;75;31,5;57,7067030055437
2016-04-01;31;33,65;32,0463652354481;76;31;55,6697981826768
2016-05-01;32,6;33,475;32,2970921883585;77;31,1;56,0771791472502
2016-06-01;29,8;32,2;32,8176737506868;78;30;51,5959885369429
2016-07-01;28,6;30,5;33,3341390005494;79;31,5;57,7067030055437
2016-08-01;32;30,75;32,8673112004395;80;30;51,5959885369429
2016-09-01;29,7;30,025;32,8138489603516;81;34,6;70,3355129073188
2016-10-01;32,8;30,775;32,2110791682813;82;33,3;65,0395603678647
2016-11-01;32,8;31,825;31,4888633346251;83;34,9;71,5576558010389
2016-12-01;35;32,575;31,5910906677;84;35,4;73,5945606239058
2017-01-01;44,4;36,25;31,21287253416;85;31;55,6697981826768
2017-02-01;37,4;37,4;31,530298027328;86;32,6;62,187893615851
2017-03-01;35,1;37,975;31,7842384218624;87;29,8;50,7812266077961
2017-04-01;30;36,725;32,4273907374899;88;28,6;45,8926550329155
2017-05-01;33,6;34,025;34,821912589992;89;32;59,7436078284107
2017-06-01;30,1;32,2;35,3375300719936;90;29,7;50,3738456432227
2017-07-01;30,4;31,025;35,2900240575949;91;32,8;63,0026555449978
2017-08-01;31;31,275;34,2320192460759;92;32,8;63,0026555449978
2017-09-01;29,9;30,35;34,1056153968607;93;35;71,9650367656123
2017-10-01;35,1;31,6;33,3044923174886;94;44,4;110,258847435511
2017-11-01;32,4;32,1;32,7235938539909;95;37,4;81,7421799153736
2017-12-01;33,3;32,675;32,3788750831927;96;35,1;72,3724177301857
2018-01-01;39,7;35,125;31,8831000665542;97;30;51,5959885369429
2018-02-01;36,8;35,55;32,5264800532433;98;33,6;66,2617032615849
2018-03-01;40,7;37,625;32,5011840425947;99;30,1;52,0033695015163
2018-04-01;35,7;38,225;32,6609472340757;100;30,4;53,2255123952365
2018-05-01;31,4;36,15;34,0687577872606;101;31;55,6697981826768
2018-06-01;30,8;34,65;34,6150062298085;102;29,9;51,1886075723695
2018-07-01;33;32,725;35,8320049838468;103;35,1;72,3724177301857
2018-08-01;31,9;31,775;35,8056039870774;104;32,4;61,3731316867042
2018-09-01;29,1;31,2;34,9244831896619;105;33,3;65,0395603678647
2018-10-01;36,1;32,525;34,0995865517296;106;39,7;91,1119421005616
2018-11-01;32,8;32,475;33,8796692413836;107;36,8;79,2978941279333
2018-12-01;35,9;33,475;33,4837353931069;108;40,7;95,1857517462954
2019-01-01;39,2;36;32,6069883144855;109;35,7;74,816703517626
2019-02-01;36,3;36,05;33,3055906515884;110;31,4;57,2993220409703
2019-03-01;34,1;36,375;33,2044725212707;111;30,8;54,85503625353
2019-04-01;35,5;36,275;33,7435780170166;112;33;63,8174174741445
2019-05-01;33,2;34,775;34,8348624136133;113;31,9;59,3362268638373
2019-06-01;31;33,45;35,1278899308906;114;29,1;47,9295598557824
2019-07-01;34,5;33,55;34,9223119447125;115;36,1;76,4462273759196
2019-08-01;30,8;32,375;35,03784955577;116;32,8;63,0026555449978
2019-09-01;32,3;32,15;34,670279644616;117;35,9;75,6314654467728
2019-10-01;34,4;33;33,9362237156928;118;39,2;89,0750372776946
2019-11-01;31,6;32,275;34,0489789725542;119;36,3;77,2609893050663
2019-12-01;36,9;33,8;33,3991831780434;120;34,1;68,2986080844518
2020-01-01;36,6;34,875;33,1793465424347;121;35,5;74,0019415884792
2020-02-01;34,1;34,8;33,4234772339478;122;33,2;64,6321794032913
2020-03-01;37,6;36,3;33,0587817871582;123;31;55,6697981826768
2020-04-01;34,5;35,7;33,8270254297266;124;34,5;69,9281319427454
;;#N/D;34,3816203437813;;30,8;54,85503625353
;;;34,325296275025;;32,3;60,9657507221308
;;;34,98023702002;;34,4;69,520750978172
;;;34,884189616016;;31,6;58,1140839701171
;;;;;36,9;79,7052750925067
;;;;;36,6;78,4831321987865
;;;;;34,1;68,2986080844518
;;;;;37,6;82,5569418445204
;;;;;34,5;69,9281319427454
